Longitude,Latitude,Time,X,Y,Z,Speed
23.333,17.667,9.891,0.5215,-0.19013,0.044111,0.69474
1.3333,7.6667,9.956,0.55186,-0.2122,0.034144,0.69474
16.667,14.333,10.019,0.57456,-0.23074,0.031111,0.54737
7.3333,1.6667,10.08,0.57432,-0.22429,0.032004,0.54737
20,18.333,10.143,0.55547,-0.2137,0.03427,0.54737
13.333,24.667,10.206,0.55578,-0.21693,0.03166,0.54737
21.333,12.667,10.269,0.57184,-0.2301,0.028161,0.54737
14,10,10.333,0.58265,-0.2362,0.026901,0.65263
16,24.667,10.395,0.57809,-0.23349,0.025948,0.65263
6,0.33333,10.46,0.57725,-0.23072,0.022753,0.65263
10,25,10.523,0.57275,-0.22551,0.021047,0.65263
8,18.667,10.586,0.57708,-0.22716,0.017196,0.65263
23,22,10.649,0.57542,-0.23022,0.012898,0.71579
26,23,10.711,0.57852,-0.22947,0.0055063,0.71579
16.667,3,10.774,0.5689,-0.22374,0.0098807,0.71579
24,19,10.836,0.55676,-0.22949,0.022872,0.71579
26.333,15,10.899,0.5609,-0.23488,0.026018,0.71579
17.333,14,10.961,0.56812,-0.24428,0.034832,0.67368
21.333,8.6667,11.025,0.56066,-0.23867,0.035739,0.67368
11,4.3333,11.088,0.55635,-0.23603,0.036329,0.67368
13,8.6667,11.15,0.55294,-0.24177,0.038476,0.67368
2,18,11.213,0.55175,-0.24119,0.039506,0.67368
21.667,14,11.275,0.55175,-0.24105,0.038824,0.56842
9.6667,16.333,11.338,0.56419,-0.2479,0.033225,0.56842
22.667,20.333,11.401,0.57349,-0.25583,0.029183,0.56842
26.667,4.6667,11.464,0.56807,-0.2522,0.033514,0.56842
13,13.333,11.526,0.5671,-0.25,0.035544,0.56842
9.6667,20.667,11.589,0.56916,-0.25236,0.03511,0.58947
1.6667,8.3333,11.651,0.57002,-0.25702,0.03416,0.58947
24.667,22.667,11.714,0.56435,-0.25669,0.034019,0.58947
19,18.333,11.786,0.56732,-0.25849,0.035903,0.58947
12,9,11.847,0.56818,-0.25521,0.045449,0.58947
26,14.667,11.91,0.56719,-0.25024,0.045889,0.63158
19.333,22.667,11.972,0.56333,-0.24452,0.050337,0.63158
17.667,6.6667,12.034,0.57069,-0.24562,0.059543,0.63158
14,0.66667,12.096,0.57305,-0.24612,0.064765,0.63158
23.667,16.333,12.159,0.58505,-0.23131,0.066038,0.63158
1.6667,14.667,12.222,0.60153,-0.22427,0.064218,0.52632
12.667,6.3333,12.285,0.62333,-0.22286,0.054535,0.52632
8.3333,24.667,12.347,0.64218,-0.21409,0.042855,0.52632
5.3333,25,12.413,0.66993,-0.20127,0.028785,0.52632
4.3333,13.333,12.475,0.68324,-0.18393,0.019087,0.52632
24.333,18.667,12.538,0.7111,-0.15973,0.0097063,0.61053
2,14,12.601,0.72541,-0.15489,0.0076508,0.61053
25.667,7.6667,12.663,0.7825,-0.13252,-0.017048,0.61053
18.667,0.33333,12.726,0.81087,-0.10996,-0.027463,0.61053
0.33333,8,12.789,0.82614,-0.10147,-0.033816,0.61053
0.33333,18,12.852,0.86961,-0.10993,-0.045012,0.56842
23,4.3333,12.916,0.88355,-0.11016,-0.046361,0.56842
12.667,6.3333,12.98,0.88995,-0.10913,-0.04676,0.56842
22.333,23.667,13.043,0.89348,-0.11371,-0.044929,0.56842
6,16.333,13.109,0.90612,-0.11954,-0.051346,0.56842
21.667,17.333,13.172,0.9046,-0.11452,-0.052237,0.63158
6.6667,2,13.235,0.90312,-0.10701,-0.056687,0.63158
26.667,6,13.298,0.9037,-0.10696,-0.058645,0.63158
25.333,21,13.36,0.89796,-0.10213,-0.067738,0.63158
15,17,13.422,0.89427,-0.10169,-0.075238,0.63158
24.667,2,13.485,0.88931,-0.10155,-0.083789,0.69474
17,17.667,13.548,0.87001,-0.099078,-0.098593,0.69474
21,14,13.611,0.85971,-0.10803,-0.11451,0.69474
15.333,25.333,13.674,0.85402,-0.11803,-0.12641,0.69474
5.3333,0.66667,13.736,0.84451,-0.13032,-0.13861,0.69474
24.333,19.667,13.799,0.83637,-0.134,-0.1468,0.61053
14,10.667,13.862,0.83369,-0.15237,-0.16171,0.61053
26.667,18.333,13.925,0.82926,-0.16785,-0.17191,0.61053
10.333,2,13.987,0.81916,-0.17459,-0.17525,0.61053
5.6667,20.333,14.049,0.78987,-0.18287,-0.17103,0.61053
19.667,1.6667,14.111,0.7749,-0.19402,-0.17004,0.63158
8.6667,17.333,14.174,0.76071,-0.20197,-0.16669,0.63158
3.3333,13.667,14.237,0.73211,-0.22555,-0.164,0.63158
24,14.333,14.3,0.72253,-0.26084,-0.15707,0.63158
18.667,20,14.362,0.72245,-0.28693,-0.15377,0.63158
25.333,7.3333,14.423,0.6989,-0.27913,-0.14102,0.54737
11.333,6.6667,14.486,0.6813,-0.27152,-0.13249,0.54737
22,20.333,14.549,0.64985,-0.28386,-0.11561,0.54737
21.667,25.667,14.613,0.63063,-0.30117,-0.09259,0.54737
9.6667,4.6667,14.676,0.63281,-0.31362,-0.088654,0.54737
24.667,10.333,14.738,0.6092,-0.29854,-0.078153,0.73684
8,2.6667,14.801,0.57397,-0.26073,-0.064163,0.73684
4.6667,25,14.863,0.53873,-0.23627,-0.050174,0.73684
12.333,21.667,14.926,0.52271,-0.2336,-0.051387,0.73684
6.6667,19.667,14.99,0.51674,-0.24176,-0.052786,0.73684
0.33333,21.333,15.052,0.52636,-0.27343,-0.055337,0.56842
16.667,15.333,15.114,0.53473,-0.29318,-0.056031,0.56842
17.667,9.6667,15.176,0.51558,-0.28801,-0.050487,0.56842
17.667,4.3333,15.238,0.47466,-0.25662,-0.042349,0.56842
18.333,23.667,15.3,0.49396,-0.27519,-0.042943,0.56842
23,24.333,15.362,0.51602,-0.29569,-0.042978,0.61053
1,20.333,15.424,0.50979,-0.28562,-0.041437,0.61053
18.333,9.6667,15.487,0.49652,-0.26958,-0.040659,0.61053
15.333,13.333,15.551,0.49231,-0.26371,-0.039079,0.61053
18.667,17.667,15.619,0.51845,-0.28261,-0.036096,0.61053
24,8,15.681,0.52809,-0.2888,-0.036563,0.67368
7.3333,4,15.744,0.52537,-0.28188,-0.037065,0.67368
2,8.3333,15.811,0.52472,-0.28264,-0.037208,0.67368
